Category,Headline,SubHeading,Link,isResult,isMaybe
CYKLING ,Italiensk tempotog træder fra både Vingegaard og verdensmesteren på Vuelta-enkeltstart ,"Filippo Ganna var hurtigst på tirsdagens 25,8 kilometer lange enkeltstart og vinder dermed 10. etape af Vuelta a España",https://www.dr.dk/sporten/cykling/italiensk-tempotog-traeder-fra-baade-vingegaard-og-verdensmesteren-paa-vuelta,True,
BADMINTON,Dansk mester stopper på landsholdet med bekymring for fremtiden ,"Hans-Kristian Vittinghus mener, at Danmark er under pres for at følge med i international badminton ",https://www.dr.dk/sporten/badminton/dansk-mester-stopper-og-sender-advarsel-om-landsholdets-fremtid,False,
ATLETIK,Kæresten fik Simon overtalt - nu kan han kalde sig verdensmester i duatlon ,Danske Simon Jørn Hansen triumferede søndag eftermiddag ved duatlon-stævnet Powerman i Schweiz ,https://www.dr.dk/sporten/atletik/kaeresten-fik-simon-overtalt-nu-kan-han-kalde-sig-verdensmester-i-duatlon,True,
CYKLING,"Andreas kronede flot etape med en tredjeplads, mens spanier sejrede på hjemmebane ",Cykelrytteren Andreas Kron blev nummer tre på 11. etape af Vuelta a Espana ,https://www.dr.dk/sporten/cykling/andreas-kronede-flot-etape-med-en-tredjeplads-mens-spanier-sejrede-paa-hjemmebane ,True ,
TENNIS,Wozniackis amerikanske eventyr slutter med nederlag til 19-årigt stortalent ,"Fjerde runde bliver endestationen ved US Open for Caroline Wozniacki, der taber i tre sæt til amerikaneren Coco Gauff ",https://www.dr.dk/sporten/tennis/wozniackis-amerikanske-eventyr-slutter-med-nederlag-til-19-aarigt-stortalent,True,
SUPERLIGA ,Tidlig kandidat til årets mål? Slovak scorer på langskudsdrøn i Parken ,"For anden gang i denne uge scorede Denis Vavro på langskud for FC København, da mestrene søndag vandt 2-0 over Viborg i Superligaen ",https://www.dr.dk/sporten/fodbold/superliga/tidlig-kandidat-til-aarets-maal-slovener-scorer-paa-langskudsdroen-i,True,
ENGELSK FODBOLD ,Højlund debuterer i Manchester United-nedtur ,"Rasmus Højlund fik søndag debut for Manchester United, der indkasserede to mål i overtiden og tabte 1-3 til Arsenal ",https://www.dr.dk/sporten/fodbold/england/hoejlund-debuterer-i-manchester-united-nedtur,True,
KORT SPORT,Spansk landsholdsspiller lægger sag an mod fodboldpræsident efter VM-kys,"Fodboldspilleren Jennifer Hermoso har lagt sag an mod Luis Rubiales, præsident for Det Spanske Fodboldforbund (RFEF)",https://www.dr.dk/sporten/seneste-sport/spansk-landsholdsspiller-laegger-sag-mod-fodboldpraesident-efter-vm-kys,False,
POKALTURNERINGEN ,"0-13! Aabenraa fik tørre tæsk, men skålede alligevel på en uforglemmelig oplevelse ",Aabenraa BK fra Serie 1 tabte 13-0 til superligamandskabet FC Midtjylland i anden runde af pokalturneringen ,https://www.dr.dk/sporten/fodbold/pokalturneringen/0-13-aabenraa-fik-toerre-taesk-men-skaalede-alligevel-paa-en,True,
HERRELANDSHOLDET ,"Landsholdet er tilfreds med sejren og 'fuldt skur', men størst af alt er glæden for debutanterne ","Danmark vandt med 4-0 over San Marino, og landstræneren fandt plads til to debuter ",https://www.dr.dk/sporten/fodbold/landsholdet/landsholdet-er-tilfreds-med-sejren-og-fuldt-skur-men-stoerst-af-alt-er,True,
